tailNum,year,carrier,model,aircraftType,engineType,manufacturer
N363AA,1988,AA,767-323,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N615SW,1995,WN,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N638SW,1996,WN,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N27421,NULL,CO,NULL,NULL,NULL,NULL
N7AGAA,NULL,AA,,,,
N7BUAA,NULL,AA,,,,
N73275,2002,CO,737-824,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N14628,1995,CO,737-524,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N288WN,2007,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N578AA,1991,AA,DC-9-82(MD-82),Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS
N533AA,NULL,AA,,,,
N786AS,1990,AS,737-4S3,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N269WN,2007,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N200AA,NULL,AA,,,,
N4WKAA,NULL,AA,,,,
N4YDAA,NULL,AA,,,,
N26123,1997,CO,757-224,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N17104,1994,CO,757-224,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N12109,1994,CO,757-224,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N528US,1987,NW,757-251,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N556NW,2002,NW,757-251,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N797MX,2001,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N257WN,2006,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N37253,2000,CO,737-824,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N739GB,1998,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N5FJAA,NULL,AA,,,,
N5CPAA,NULL,AA,,,,
N5BSAA,NULL,AA,,,,
N779AS,1994,AS,737-4Q8,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
